iter	Accuracy	Logloss
0	0.8284106892	0.6627454652
1	0.8284106892	0.6353517594
2	0.8424753868	0.6062681344
3	0.841068917	0.5855668165
4	0.8438818565	0.5665812018
5	0.8340365682	0.5471500228
6	0.835443038	0.53497342
7	0.8368495077	0.5222829093
8	0.8438818565	0.5112541034
9	0.8396624473	0.4944759288
10	0.8438818565	0.4890803368
11	0.835443038	0.4809432449
12	0.8368495077	0.4730903003
13	0.8382559775	0.4646853349
14	0.8382559775	0.4583650125
15	0.8466947961	0.449518796
16	0.8481012658	0.440963731
17	0.8438818565	0.4332776528
18	0.8438818565	0.4259042035
19	0.8495077356	0.4220179518
20	0.8438818565	0.4162512853
21	0.8466947961	0.410503395
22	0.8466947961	0.4064645726
23	0.8466947961	0.4056291067
24	0.8495077356	0.4000777894
25	0.8509142053	0.3997970031
26	0.8495077356	0.3987435941
27	0.8523206751	0.3941529211
28	0.8537271449	0.3903868432
29	0.8537271449	0.3877065826
30	0.8551336146	0.3828249404
31	0.8551336146	0.3799194497
32	0.8537271449	0.3773705103
33	0.8565400844	0.3744063361
34	0.8579465541	0.3717840043
35	0.8579465541	0.3691630816
36	0.8579465541	0.3657611023
37	0.8593530239	0.3622135827
38	0.8607594937	0.3613632535
39	0.8621659634	0.3594412825
40	0.8607594937	0.3578747828
41	0.8607594937	0.3561177479
42	0.8607594937	0.3559059537
43	0.8607594937	0.3544950712
44	0.8635724332	0.3520548938
45	0.8635724332	0.3491375305
46	0.8621659634	0.3467005884
47	0.8635724332	0.3448812402
48	0.8635724332	0.3434716904
49	0.8635724332	0.3425827994
50	0.864978903	0.3414694994
51	0.864978903	0.3390271772
52	0.864978903	0.3378590884
53	0.864978903	0.3365094047
54	0.864978903	0.33431158
55	0.8635724332	0.3333336019
56	0.8635724332	0.3326811286
57	0.864978903	0.3320390168
58	0.864978903	0.3303352348
59	0.8663853727	0.32948579
60	0.8663853727	0.329481973
61	0.8677918425	0.3278711356
62	0.870604782	0.3257861763
63	0.870604782	0.3243490544
64	0.8691983122	0.3231959778
65	0.870604782	0.3218625776
66	0.870604782	0.3207102759
67	0.8734177215	0.31935476
68	0.8748241913	0.3182890413
69	0.8748241913	0.3180418831
70	0.8734177215	0.3162201843
71	0.8748241913	0.3154564074
72	0.8748241913	0.3153509299
73	0.8734177215	0.3148438239
74	0.8748241913	0.3135665935
75	0.8748241913	0.3135665629
76	0.8748241913	0.3120974281
77	0.8748241913	0.3115137906
78	0.876230661	0.3100885945
79	0.8776371308	0.3099030376
80	0.8804500703	0.3088254526
81	0.8832630098	0.3076155046
82	0.8832630098	0.3069923465
83	0.8832630098	0.3060232477
84	0.8832630098	0.3060229099
85	0.8832630098	0.3057050996
86	0.8818565401	0.3055774971
87	0.8818565401	0.3047485599
88	0.8832630098	0.3039758685
89	0.8846694796	0.302953258
90	0.8846694796	0.3020123656
91	0.8888888889	0.3008946392
92	0.8874824191	0.3004558209
93	0.8874824191	0.2997421037
94	0.8874824191	0.2994630946
95	0.8888888889	0.2985298147
96	0.8874824191	0.298039068
97	0.8888888889	0.2968837655
98	0.8888888889	0.2963466229
99	0.8902953586	0.2952208601
100	0.8917018284	0.2939233974
101	0.8917018284	0.2937314436
102	0.8931082982	0.2931001439
103	0.8902953586	0.2920945403
104	0.8917018284	0.2913655424
105	0.8917018284	0.2908139025
106	0.8917018284	0.2901249773
107	0.8931082982	0.2891529863
108	0.8931082982	0.2885791981
109	0.8959212377	0.2880873198
110	0.8959212377	0.287774257
111	0.8973277075	0.28648497
112	0.8959212377	0.2850778551
113	0.8959212377	0.2845121005
114	0.8973277075	0.2837138991
115	0.8987341772	0.2829741092
116	0.8987341772	0.2822217311
117	0.8987341772	0.2822213057
118	0.900140647	0.2817317233
119	0.900140647	0.2813788737
120	0.900140647	0.2803898137
121	0.900140647	0.2796442665
122	0.900140647	0.279417764
123	0.900140647	0.2788163849
124	0.8987341772	0.2775346144
125	0.8987341772	0.2774220043
126	0.8987341772	0.2772599959
127	0.9015471167	0.2768555341
128	0.9015471167	0.2763217181
129	0.9015471167	0.2751725226
130	0.9015471167	0.2746132008
131	0.9029535865	0.2742485738
132	0.9029535865	0.2726236336
133	0.9029535865	0.2725165025
134	0.905766526	0.2718463201
135	0.905766526	0.2715039087
136	0.905766526	0.2710522078
137	0.905766526	0.2708127257
138	0.905766526	0.2708126767
139	0.905766526	0.2702510303
140	0.905766526	0.2696936172
141	0.905766526	0.2696060958
142	0.905766526	0.2692426888
143	0.905766526	0.2686201298
144	0.905766526	0.2677102863
145	0.905766526	0.2674820875
146	0.9085794655	0.2668419039
147	0.9085794655	0.2665094267
148	0.9085794655	0.2654145004
149	0.9085794655	0.2646953022
150	0.9099859353	0.2644050405
151	0.9127988748	0.2637779523
152	0.9127988748	0.262515479
153	0.9127988748	0.2617690082
154	0.9127988748	0.2605885434
155	0.9127988748	0.2598941993
156	0.9127988748	0.2590396743
157	0.9127988748	0.2587754878
158	0.9113924051	0.2582595021
159	0.9113924051	0.2577011235
160	0.9127988748	0.2572287348
161	0.9127988748	0.2565625885
162	0.9127988748	0.2559281692
163	0.9142053446	0.2551667401
164	0.9142053446	0.254474871
165	0.9142053446	0.2543102673
166	0.9142053446	0.2537265961
167	0.9142053446	0.2528166348
168	0.9142053446	0.2519338234
169	0.9142053446	0.2513662497
170	0.9142053446	0.2504696116
171	0.9142053446	0.250187222
172	0.9156118143	0.2493552966
173	0.9156118143	0.2493096122
174	0.9156118143	0.2490705352
175	0.9142053446	0.2483642708
176	0.9142053446	0.247672517
177	0.9142053446	0.2474589899
178	0.9142053446	0.2468453315
179	0.9142053446	0.2465682408
180	0.9156118143	0.2463878557
181	0.9156118143	0.24599758
182	0.9156118143	0.2453092246
183	0.9156118143	0.244444018
184	0.9156118143	0.2440181767
185	0.9170182841	0.2432829414
186	0.9170182841	0.2428567266
187	0.9170182841	0.2427111759
188	0.9170182841	0.2424818238
189	0.9184247539	0.241756186
190	0.9184247539	0.2412125458
191	0.9184247539	0.2410008732
192	0.9198312236	0.2406592901
193	0.9198312236	0.2395311844
194	0.9198312236	0.2389117414
195	0.9198312236	0.2383303461
196	0.9198312236	0.237285788
197	0.9198312236	0.2365512819
198	0.9198312236	0.235365804
199	0.9198312236	0.2342125622
200	0.9226441632	0.2332320982
201	0.9226441632	0.2323933174
202	0.9240506329	0.2319030849
203	0.9240506329	0.2314225856
204	0.9240506329	0.2304459986
205	0.9254571027	0.2291287411
206	0.9254571027	0.2288771127
207	0.9254571027	0.2281741806
208	0.9254571027	0.227555857
209	0.9268635724	0.2269264007
210	0.9268635724	0.2263140716
211	0.9254571027	0.2252964916
212	0.9240506329	0.2247396164
213	0.9240506329	0.2243657218
214	0.9240506329	0.2240946145
215	0.9268635724	0.223423389
216	0.9282700422	0.222312135
217	0.9282700422	0.222229498
218	0.9282700422	0.2216725879
219	0.9282700422	0.2211742805
220	0.9282700422	0.2208444223
221	0.9282700422	0.2205130946
222	0.9282700422	0.2203040867
223	0.9282700422	0.220095033
224	0.929676512	0.2192568008
225	0.929676512	0.2183470043
226	0.929676512	0.2171662389
227	0.9310829817	0.2163981985
228	0.9324894515	0.2160293544
229	0.9310829817	0.2155184056
230	0.9324894515	0.2142865295
231	0.9310829817	0.2134112712
232	0.9324894515	0.2131353463
233	0.9324894515	0.2130281409
234	0.9324894515	0.21183759
235	0.9338959212	0.2113235535
236	0.9310829817	0.2106300886
237	0.935302391	0.2099601075
238	0.9338959212	0.2095781032
239	0.9338959212	0.2088786368
240	0.9338959212	0.2083718585
241	0.9338959212	0.2082179583
242	0.9338959212	0.2080250896
243	0.935302391	0.2074909183
244	0.9367088608	0.2070189722
245	0.9367088608	0.2066861824
246	0.9367088608	0.2061288722
247	0.9367088608	0.2050670982
248	0.9367088608	0.2047882727
249	0.9395218003	0.2035651372
250	0.94092827	0.2032717127
251	0.9367088608	0.2023410936
252	0.9395218003	0.2016448245
253	0.94092827	0.2009756612
254	0.94092827	0.2005972459
255	0.94092827	0.1994287848
256	0.94092827	0.1992779677
257	0.94092827	0.198709965
258	0.94092827	0.1980199652
259	0.9395218003	0.1967588519
260	0.9395218003	0.1963873525
261	0.94092827	0.1959286595
262	0.94092827	0.1958460049
263	0.94092827	0.1956398336
264	0.94092827	0.1951435013
265	0.94092827	0.1950170554
266	0.94092827	0.1946587109
267	0.94092827	0.1944183894
268	0.94092827	0.1942888507
269	0.94092827	0.1936956878
270	0.9423347398	0.1933622493
271	0.9423347398	0.1927699125
272	0.9423347398	0.1920065168
273	0.9423347398	0.1915698868
274	0.9437412096	0.1911699223
275	0.9437412096	0.1907061997
276	0.9437412096	0.1903241074
277	0.9437412096	0.1894050252
278	0.9437412096	0.1892402348
279	0.9451476793	0.1886304917
280	0.9451476793	0.1882825735
281	0.9451476793	0.1868978903
282	0.9451476793	0.1866563105
283	0.9437412096	0.1864190747
284	0.9451476793	0.1852544891
285	0.9451476793	0.1849941417
286	0.9451476793	0.1845986258
287	0.9451476793	0.184215806
288	0.9451476793	0.1830931694
289	0.9465541491	0.182020378
290	0.9451476793	0.1815517101
291	0.9451476793	0.1813481541
292	0.9479606188	0.1805053926
293	0.9493670886	0.179875024
294	0.9493670886	0.1793814453
295	0.9493670886	0.1788769499
296	0.9493670886	0.1779522607
297	0.9493670886	0.1777151559
298	0.9493670886	0.1772786598
299	0.9507735584	0.1769480094
300	0.9507735584	0.1765581035
301	0.9507735584	0.176224435
302	0.9535864979	0.1759490661
303	0.9521800281	0.1757069445
304	0.9535864979	0.1751688403
305	0.9535864979	0.1742759577
306	0.9535864979	0.1737744065
307	0.9535864979	0.1736754745
308	0.9535864979	0.1735259852
309	0.9535864979	0.1731654943
310	0.9535864979	0.1721917098
311	0.9535864979	0.17173014
312	0.9535864979	0.1712848269
313	0.9535864979	0.1706908815
314	0.9535864979	0.1705526386
315	0.9535864979	0.1703513369
316	0.9563994374	0.1697196741
317	0.9563994374	0.169104865
318	0.9563994374	0.1686182854
319	0.9578059072	0.1681615279
320	0.9578059072	0.1673280506
321	0.9578059072	0.1669355268
322	0.9578059072	0.1666596045
323	0.9578059072	0.1665041993
324	0.9578059072	0.1660311856
325	0.9578059072	0.1658022794
326	0.9578059072	0.1655493121
327	0.9578059072	0.1653345357
328	0.9578059072	0.1652690972
329	0.9578059072	0.1649060477
330	0.9578059072	0.1646479836
331	0.9578059072	0.1637042134
332	0.9578059072	0.1635828027
333	0.9563994374	0.1632718817
334	0.9578059072	0.1626330831
335	0.9606188467	0.1623081662
336	0.9578059072	0.1618233002
337	0.9578059072	0.1616794792
338	0.9578059072	0.1614192909
339	0.9592123769	0.1609868236
340	0.9578059072	0.1608439206
341	0.9592123769	0.1603506317
342	0.9606188467	0.1600434741
343	0.9606188467	0.1596351364
344	0.9606188467	0.1593833973
345	0.9606188467	0.1591521955
346	0.9606188467	0.1588502348
347	0.9606188467	0.1584902535
348	0.9620253165	0.1582250407
349	0.9620253165	0.1581345528
350	0.9620253165	0.1578699011
351	0.9634317862	0.1577567362
352	0.9634317862	0.1575583937
353	0.9620253165	0.157373941
354	0.9634317862	0.1572230822
355	0.9634317862	0.1570645473
356	0.9634317862	0.1567909736
357	0.9634317862	0.1566918582
358	0.9634317862	0.1563143875
359	0.9634317862	0.1561669342
360	0.9634317862	0.1559579383
361	0.9634317862	0.155594364
362	0.9634317862	0.1553656649
363	0.9634317862	0.1549303325
364	0.9634317862	0.1545972021
365	0.9634317862	0.1541146858
366	0.9634317862	0.1540372678
367	0.9634317862	0.1537609302
368	0.9634317862	0.1534239675
369	0.9634317862	0.1532501233
370	0.9634317862	0.1531329125
371	0.9634317862	0.1528506147
372	0.9634317862	0.1527575624
373	0.9634317862	0.1527313323
374	0.9634317862	0.1525576149
375	0.9634317862	0.1521583841
376	0.9634317862	0.151714625
377	0.9634317862	0.1514741191
378	0.9634317862	0.151143739
379	0.9634317862	0.1508188467
380	0.964838256	0.1504656938
381	0.964838256	0.1503247444
382	0.964838256	0.1497782053
383	0.964838256	0.1496603496
384	0.9662447257	0.149331709
385	0.9662447257	0.1491727855
386	0.9662447257	0.1490080782
387	0.964838256	0.1489111171
388	0.9662447257	0.1484674433
389	0.9676511955	0.1480877061
