iter	Passed	Remaining
0	7	3934
1	10	2646
2	14	2403
3	17	2154
4	20	2016
5	23	1924
6	28	2001
7	30	1880
8	32	1765
9	34	1699
10	36	1643
11	40	1656
12	44	1674
13	46	1628
14	49	1592
15	52	1589
16	55	1562
17	59	1587
18	62	1575
19	65	1561
20	68	1560
21	71	1555
22	77	1607
23	81	1610
24	82	1561
25	85	1552
26	87	1538
27	91	1534
28	94	1535
29	95	1503
30	99	1498
31	104	1528
32	109	1556
33	113	1562
34	118	1570
35	120	1558
36	123	1548
37	126	1537
38	128	1520
39	129	1494
40	132	1485
41	135	1477
42	139	1480
43	142	1476
44	146	1478
45	149	1472
46	151	1459
47	154	1456
48	159	1466
49	161	1453
50	163	1442
51	166	1435
52	169	1426
53	174	1437
54	176	1428
55	179	1420
56	181	1408
57	184	1404
58	187	1404
59	191	1406
60	198	1426
61	203	1434
62	207	1440
63	209	1426
64	213	1425
65	215	1417
66	220	1424
67	225	1433
68	229	1434
69	232	1429
70	235	1424
71	240	1427
72	242	1420
73	246	1420
74	250	1419
75	254	1419
76	256	1411
77	259	1404
78	262	1398
79	265	1392
80	268	1389
81	272	1387
82	275	1381
83	278	1378
84	281	1375
85	284	1369
86	288	1368
87	291	1363
88	294	1362
89	298	1357
90	299	1347
91	304	1349
92	307	1346
93	311	1344
94	314	1341
95	318	1341
96	321	1335
97	324	1331
98	326	1321
99	329	1317
100	331	1310
101	335	1308
102	338	1303
103	341	1301
104	344	1297
105	348	1295
106	352	1294
107	355	1292
108	359	1288
109	361	1283
110	364	1277
111	368	1275
112	370	1269
113	374	1268
114	377	1265
115	378	1253
116	379	1242
117	383	1242
118	386	1238
119	389	1232
120	392	1230
121	396	1229
122	401	1229
123	402	1220
124	405	1215
125	408	1211
126	410	1206
127	414	1204
128	415	1195
129	418	1192
130	421	1188
131	424	1184
132	429	1184
133	433	1182
134	435	1178
135	439	1176
136	442	1172
137	445	1168
138	449	1167
139	452	1163
140	474	1208
141	482	1215
142	490	1224
143	497	1230
144	504	1235
145	510	1237
146	515	1238
147	521	1239
148	525	1239
149	529	1234
150	532	1230
151	537	1230
152	544	1235
153	551	1238
154	555	1236
155	559	1232
156	563	1231
157	567	1227
158	570	1222
159	573	1218
160	577	1215
161	581	1212
162	584	1208
163	588	1205
164	591	1201
165	596	1199
166	600	1197
167	603	1192
168	606	1187
169	609	1183
170	612	1178
171	616	1175
172	619	1170
173	622	1165
