iter	Accuracy	Logloss
0	0.8030942335	0.667133394
1	0.841068917	0.6318085974
2	0.8270042194	0.6166295232
3	0.805907173	0.6030597277
4	0.8143459916	0.5817896925
5	0.8298171589	0.5604149271
6	0.835443038	0.5404961343
7	0.835443038	0.5320537526
8	0.841068917	0.5115116801
9	0.835443038	0.5007717718
10	0.835443038	0.4949217843
11	0.8382559775	0.4799923416
12	0.8438818565	0.4698109338
13	0.841068917	0.4621743989
14	0.8452883263	0.454245549
15	0.8452883263	0.4443660713
16	0.8452883263	0.435235371
17	0.8438818565	0.429783024
18	0.8481012658	0.4218738713
19	0.8537271449	0.4167084608
20	0.8593530239	0.410986315
21	0.8607594937	0.4044105188
22	0.8607594937	0.3990281157
23	0.8579465541	0.3978886567
24	0.8593530239	0.3927990802
25	0.8607594937	0.3912886884
26	0.8607594937	0.3872578236
27	0.8593530239	0.3841812514
28	0.8621659634	0.3797843594
29	0.8621659634	0.3787258064
30	0.8607594937	0.3767629348
31	0.8635724332	0.3744066726
32	0.8635724332	0.373597921
33	0.864978903	0.3721330828
34	0.8691983122	0.3670727666
35	0.8691983122	0.3658369264
36	0.8720112518	0.3608722206
37	0.870604782	0.3601137385
38	0.8734177215	0.3576621216
39	0.8720112518	0.3544563785
40	0.8720112518	0.3525041737
41	0.8748241913	0.3512989781
42	0.8748241913	0.3495613203
43	0.8748241913	0.347316949
44	0.8748241913	0.3456920781
45	0.876230661	0.3435208214
46	0.8748241913	0.3431300667
47	0.876230661	0.3397170945
48	0.8748241913	0.3378901473
49	0.8748241913	0.3358146394
50	0.8748241913	0.3334887192
51	0.8734177215	0.33195936
52	0.876230661	0.331595041
53	0.8790436006	0.3281125241
54	0.8776371308	0.3263244711
55	0.8790436006	0.3254839477
56	0.8790436006	0.323171748
57	0.8804500703	0.3231586811
58	0.8846694796	0.3214712016
59	0.8818565401	0.3205835291
60	0.8832630098	0.3205790941
61	0.8846694796	0.3194894415
62	0.8846694796	0.3191464613
63	0.8846694796	0.3181103185
64	0.8846694796	0.3174072491
65	0.8846694796	0.3169366808
66	0.8846694796	0.3169343667
67	0.8846694796	0.3162127406
68	0.8874824191	0.3138977736
69	0.8860759494	0.3131124688
70	0.8860759494	0.3118888828
71	0.8874824191	0.3108084382
72	0.8874824191	0.3099360927
73	0.8874824191	0.3088420699
74	0.8860759494	0.3085359433
75	0.8888888889	0.3078366678
76	0.8888888889	0.3073634681
77	0.8888888889	0.3070296588
78	0.8888888889	0.305792707
79	0.8917018284	0.304799449
80	0.8917018284	0.30438219
81	0.8888888889	0.3031591938
82	0.8888888889	0.3025558085
83	0.8888888889	0.3004345365
84	0.8888888889	0.3001022363
85	0.8902953586	0.2988664902
86	0.8888888889	0.2977692993
87	0.8888888889	0.2969550384
88	0.8888888889	0.2964898338
89	0.8888888889	0.2955420516
90	0.8888888889	0.295369452
91	0.8902953586	0.2945580135
92	0.8902953586	0.2945015057
93	0.8902953586	0.29351676
94	0.8917018284	0.291826731
95	0.8931082982	0.2909113039
96	0.8931082982	0.2899561319
97	0.8931082982	0.2888845816
98	0.8917018284	0.2880518516
99	0.8931082982	0.2867646581
100	0.8917018284	0.2859885786
101	0.8931082982	0.2850263561
102	0.8931082982	0.2843520234
103	0.8931082982	0.2836454937
104	0.8931082982	0.2829997456
105	0.8931082982	0.2826601162
106	0.8931082982	0.2824650724
107	0.8931082982	0.2819389042
108	0.8931082982	0.2800898738
109	0.8945147679	0.2793793246
110	0.8931082982	0.2788645294
111	0.8945147679	0.2786080508
112	0.8945147679	0.2784980914
113	0.8945147679	0.2782098895
114	0.8931082982	0.277336093
115	0.8931082982	0.2766945455
116	0.8931082982	0.2766290739
117	0.8931082982	0.2758464214
118	0.8931082982	0.2750153624
119	0.8931082982	0.2746329632
120	0.8945147679	0.2719333254
121	0.8945147679	0.2714334181
122	0.8931082982	0.2706588569
123	0.8931082982	0.2699619504
124	0.8931082982	0.2695640787
125	0.8931082982	0.2691908709
126	0.8931082982	0.2691326516
127	0.8931082982	0.2686750513
128	0.8931082982	0.2682236986
129	0.8945147679	0.2671919814
130	0.8931082982	0.2667460713
131	0.8931082982	0.2664234436
132	0.8931082982	0.2652564063
133	0.8945147679	0.2647474314
134	0.8945147679	0.2644039477
135	0.8945147679	0.2642107004
136	0.8945147679	0.2631376881
137	0.8945147679	0.2624425635
138	0.8945147679	0.2616204106
139	0.8959212377	0.2608508853
140	0.8959212377	0.2607142393
141	0.8973277075	0.2593859969
142	0.8973277075	0.259209293
143	0.900140647	0.2586497055
144	0.8987341772	0.2584098353
145	0.8973277075	0.2580895919
146	0.8987341772	0.2576984742
147	0.900140647	0.2571185213
148	0.900140647	0.2561435182
149	0.900140647	0.2558086126
150	0.900140647	0.2554722252
151	0.900140647	0.2550328777
152	0.900140647	0.2545743832
153	0.900140647	0.2538423342
154	0.900140647	0.2527222178
155	0.9015471167	0.2518733671
156	0.9015471167	0.2511624593
157	0.9015471167	0.2506745734
158	0.9029535865	0.2504503605
159	0.9043600563	0.2492549687
160	0.9043600563	0.2485519037
161	0.9043600563	0.2473170031
162	0.905766526	0.2458764062
163	0.9043600563	0.2453125783
164	0.905766526	0.2449502781
165	0.9071729958	0.2442731316
166	0.9071729958	0.2438322009
167	0.9085794655	0.2429991008
168	0.9085794655	0.241213976
169	0.9085794655	0.2404071173
170	0.9085794655	0.2399269778
171	0.9085794655	0.2392338632
172	0.9099859353	0.2385383233
173	0.9099859353	0.2383638412
174	0.9099859353	0.2379568971
175	0.9099859353	0.2379271723
176	0.9099859353	0.2365656541
177	0.9113924051	0.2359817141
178	0.9127988748	0.2356746115
179	0.9127988748	0.2348390321
180	0.9127988748	0.2346019837
181	0.9142053446	0.2336463528
182	0.9142053446	0.2333088774
183	0.9142053446	0.2324865299
184	0.9156118143	0.2307669101
185	0.9156118143	0.2302919854
186	0.9170182841	0.2298100857
187	0.9156118143	0.2294179026
188	0.9156118143	0.2291938592
189	0.9170182841	0.2282162777
190	0.9170182841	0.2281100827
191	0.9184247539	0.2278181231
192	0.9198312236	0.2275189149
193	0.9184247539	0.227346665
194	0.9184247539	0.2270815806
195	0.9170182841	0.226579341
196	0.9170182841	0.2264010195
197	0.9170182841	0.2258966532
198	0.9184247539	0.2254869602
199	0.9198312236	0.2250655332
200	0.9170182841	0.2246436695
201	0.9184247539	0.2237005072
202	0.9198312236	0.2229023532
203	0.9184247539	0.2222778514
204	0.9184247539	0.2216808121
205	0.9212376934	0.2212901683
206	0.9226441632	0.2201721238
207	0.9254571027	0.2193833268
208	0.9240506329	0.218854334
209	0.9240506329	0.2185760384
210	0.9268635724	0.2182545033
211	0.929676512	0.2174004799
212	0.929676512	0.2160740229
213	0.929676512	0.2157141994
214	0.9282700422	0.2153669708
215	0.9282700422	0.2147850808
216	0.9282700422	0.2145583082
217	0.9282700422	0.214179416
218	0.9310829817	0.2138199439
219	0.9310829817	0.2125757636
220	0.9310829817	0.2125104764
221	0.9310829817	0.2121867831
222	0.9310829817	0.2117270359
223	0.9310829817	0.2113151164
224	0.9310829817	0.2107484117
225	0.9310829817	0.2100289555
226	0.9310829817	0.2099455184
227	0.9324894515	0.2090422178
228	0.9324894515	0.2081116144
229	0.9324894515	0.2072874227
230	0.9338959212	0.2062519562
231	0.9338959212	0.2058938254
232	0.9338959212	0.2054344061
233	0.935302391	0.2045480514
234	0.935302391	0.2042374243
235	0.935302391	0.2041885125
236	0.935302391	0.2039786324
237	0.935302391	0.2036480687
238	0.935302391	0.2029170544
239	0.935302391	0.2026683484
240	0.935302391	0.2020532512
241	0.935302391	0.2015420921
242	0.935302391	0.201097239
243	0.935302391	0.2008654132
244	0.935302391	0.2006691663
245	0.935302391	0.2005175082
246	0.9367088608	0.1992304491
247	0.9367088608	0.1989994556
248	0.9367088608	0.1987429578
249	0.9367088608	0.1984337973
250	0.9367088608	0.1979907942
251	0.9367088608	0.1974047187
252	0.9367088608	0.1968095319
253	0.9367088608	0.1965790496
254	0.9367088608	0.196242958
255	0.9367088608	0.1955639775
256	0.9367088608	0.1950735797
257	0.9367088608	0.1949251994
258	0.9367088608	0.1947045937
259	0.9367088608	0.1945369216
260	0.9367088608	0.1941375591
261	0.9367088608	0.1936189688
262	0.9367088608	0.1932742819
263	0.9367088608	0.1930766879
264	0.9367088608	0.1929790528
265	0.9367088608	0.1922225673
266	0.9367088608	0.1919956258
267	0.9367088608	0.1916931774
268	0.9367088608	0.1914990479
269	0.9367088608	0.1911760206
270	0.9367088608	0.1908429571
271	0.9381153305	0.1906883716
272	0.9381153305	0.189547287
273	0.9381153305	0.1893680939
274	0.9395218003	0.1891244044
275	0.9395218003	0.1890653906
276	0.9395218003	0.1881902522
277	0.9381153305	0.1879026145
278	0.9395218003	0.1872641231
279	0.9395218003	0.1867772884
