iter	Passed	Remaining
0	7	3816
1	15	3952
2	18	3127
3	21	2604
4	25	2521
5	29	2447
6	35	2534
7	38	2380
8	42	2331
9	46	2270
10	48	2146
11	53	2165
12	57	2171
13	62	2153
14	68	2210
15	79	2397
16	86	2455
17	94	2531
18	101	2566
19	107	2584
20	113	2584
21	120	2611
22	139	2901
23	143	2840
24	154	2930
25	163	2974
26	170	2978
27	177	2988
28	182	2956
29	186	2918
30	190	2887
31	195	2858
32	200	2844
33	207	2843
34	211	2814
35	215	2776
36	219	2747
37	221	2694
38	225	2665
39	230	2652
40	235	2635
41	240	2627
42	245	2613
43	251	2601
44	255	2586
45	260	2567
46	263	2539
47	271	2553
48	278	2559
49	283	2554
50	289	2547
51	295	2546
52	298	2515
53	303	2507
54	311	2519
55	317	2516
56	323	2516
57	327	2496
58	354	2649
59	359	2633
60	361	2603
61	367	2594
62	369	2563
63	375	2558
64	379	2541
65	384	2528
66	386	2495
67	390	2480
68	395	2469
69	401	2468
70	406	2457
71	411	2447
72	415	2428
73	423	2435
74	430	2437
75	434	2426
76	448	2464
77	458	2480
78	474	2531
79	497	2613
80	539	2791
81	554	2826
82	557	2801
83	564	2794
84	574	2802
85	589	2836
86	607	2882
87	616	2884
88	625	2888
89	643	2932
90	656	2952
91	677	3004
92	682	2985
93	688	2972
94	699	2980
95	709	2987
96	722	3000
97	740	3038
98	752	3049
99	759	3039
100	767	3031
101	778	3036
102	785	3027
103	795	3030
104	810	3050
105	820	3049
106	844	3102
107	855	3106
108	865	3104
109	874	3101
110	882	3092
111	885	3067
112	889	3046
113	901	3050
114	910	3048
115	917	3037
116	920	3014
117	932	3017
118	941	3014
119	948	3005
120	958	3002
121	985	3053
122	996	3053
123	1003	3044
124	1008	3025
125	1015	3013
126	1026	3016
127	1034	3007
128	1043	2999
129	1052	2995
130	1058	2982
131	1064	2968
132	1071	2955
133	1077	2944
134	1084	2933
135	1092	2923
136	1099	2912
137	1105	2900
138	1112	2888
139	1117	2873
140	1121	2856
141	1129	2847
142	1136	2837
143	1144	2829
144	1152	2821
145	1158	2807
146	1165	2798
147	1177	2801
148	1190	2803
149	1208	2819
150	1216	2812
151	1226	2808
152	1239	2810
153	1254	2818
154	1266	2819
155	1275	2813
156	1304	2849
157	1312	2841
158	1323	2838
159	1344	2856
160	1359	2862
161	1376	2872
162	1395	2884
163	1407	2884
164	1416	2875
165	1428	2874
166	1436	2864
167	1443	2853
168	1451	2843
169	1488	2889
170	1509	2905
171	1538	2932
172	1547	2924
173	1557	2917
174	1575	2926
175	1584	2916
176	1593	2907
177	1606	2905
178	1617	2900
179	1626	2891
180	1637	2885
181	1647	2878
182	1658	2872
183	1666	2862
184	1678	2857
185	1688	2851
186	1698	2843
187	1709	2836
188	1717	2826
189	1724	2813
190	1731	2801
191	1743	2796
192	1753	2788
193	1760	2776
194	1769	2767
195	1779	2759
196	1786	2747
197	1794	2737
198	1805	2731
199	1815	2723
200	1824	2713
201	1832	2703
202	1840	2693
203	1850	2685
204	1859	2675
205	1866	2664
206	1877	2658
207	1886	2648
208	1894	2638
209	1906	2633
210	1915	2623
211	1925	2615
212	1936	2609
213	1946	2601
214	1953	2589
215	1971	2592
216	1982	2585
217	1993	2578
218	2002	2569
219	2012	2560
220	2022	2553
221	2037	2551
222	2046	2541
223	2053	2530
224	2062	2521
225	2071	2511
226	2079	2500
227	2086	2489
228	2096	2481
229	2104	2470
230	2110	2458
231	2120	2448
232	2129	2440
233	2138	2431
234	2145	2419
235	2155	2411
236	2165	2402
237	2174	2393
238	2182	2383
239	2189	2372
240	2199	2363
241	2209	2355
242	2219	2347
243	2228	2338
244	2236	2327
245	2242	2315
246	2250	2305
247	2260	2297
248	2272	2291
249	2279	2279
250	2292	2273
251	2300	2263
252	2308	2254
253	2317	2244
254	2326	2235
255	2337	2227
256	2345	2217
257	2352	2206
258	2363	2199
259	2372	2190
260	2392	2190
261	2404	2184
262	2416	2177
263	2425	2168
264	2432	2157
265	2442	2148
266	2452	2139
267	2460	2129
268	2469	2120
269	2481	2113
270	2490	2104
271	2499	2094
272	2507	2084
273	2516	2075
274	2524	2065
275	2532	2055
276	2541	2045
277	2551	2037
278	2561	2029
279	2570	2019
280	2578	2009
281	2585	1998
282	2592	1988
283	2602	1979
284	2611	1969
285	2619	1960
286	2626	1949
287	2636	1941
288	2644	1931
289	2653	1921
290	2662	1912
291	2674	1905
292	2683	1895
293	2693	1887
294	2703	1878
295	2713	1870
296	2721	1860
297	2730	1850
298	2737	1840
299	2746	1831
300	2754	1820
301	2766	1813
302	2773	1803
303	2779	1792
304	2786	1781
305	2795	1772
306	2805	1763
307	2814	1754
308	2822	1744
309	2829	1733
310	2838	1724
311	2849	1717
312	2858	1708
313	2866	1698
314	2875	1688
315	2884	1679
316	2893	1670
317	2901	1660
318	2912	1652
319	2924	1644
320	2933	1635
321	2941	1625
322	2947	1615
323	2965	1611
324	2977	1603
325	2984	1593
326	2993	1583
327	3003	1575
328	3013	1566
329	3021	1556
330	3029	1547
331	3038	1537
332	3047	1528
333	3057	1519
334	3066	1510
335	3073	1500
336	3079	1489
337	3089	1480
338	3099	1472
339	3107	1462
340	3115	1452
341	3123	1442
342	3132	1433
343	3140	1424
344	3150	1415
345	3160	1406
346	3167	1396
347	3176	1387
348	3184	1378
349	3192	1368
350	3201	1359
351	3213	1351
352	3221	1341
353	3228	1331
354	3237	1322
355	3244	1312
356	3251	1302
357	3260	1293
358	3268	1283
359	3275	1273
360	3284	1264
361	3293	1255
362	3301	1246
363	3309	1236
364	3318	1227
365	3326	1217
366	3334	1208
367	3345	1199
368	3354	1191
369	3363	1181
370	3376	1174
371	3385	1164
372	3405	1159
373	3415	1150
374	3424	1141
375	3436	1133
376	3445	1124
377	3454	1115
378	3463	1105
379	3470	1095
380	3481	1087
381	3492	1078
382	3502	1070
383	3511	1060
384	3520	1051
385	3533	1043
386	3545	1035
387	3556	1026
388	3564	1017
389	3575	1008
390	3585	999
391	3595	990
392	3605	981
393	3614	972
394	3623	963
395	3632	954
396	3644	945
397	3655	936
398	3663	927
399	3672	918
400	3683	909
401	3693	900
402	3702	891
403	3711	881
404	3718	872
405	3727	863
406	3740	854
407	3749	845
408	3757	836
409	3770	827
410	3780	818
411	3791	809
412	3799	800
413	3807	790
414	3818	782
415	3829	773
416	3838	763
417	3847	754
418	3855	745
419	3866	736
420	3876	727
421	3885	718
422	3895	709
423	3905	699
424	3912	690
425	3924	681
426	3935	672
427	3953	665
428	3966	656
429	3978	647
430	3987	638
431	3997	629
432	4004	619
433	4012	610
434	4022	601
435	4033	592
436	4043	582
437	4052	573
438	4061	564
439	4069	554
440	4077	545
441	4086	536
442	4096	527
443	4104	517
444	4113	508
445	4123	499
446	4132	489
447	4141	480
448	4149	471
449	4162	462
450	4172	453
451	4183	444
452	4194	435
453	4205	426
454	4213	416
455	4223	407
456	4233	398
457	4245	389
458	4254	380
459	4262	370
460	4273	361
461	4283	352
462	4291	342
463	4298	333
464	4306	324
465	4315	314
466	4324	305
467	4331	296
468	4339	286
469	4349	277
470	4367	268
471	4377	259
472	4386	250
473	4394	241
474	4405	231
475	4417	222
476	4426	213
477	4436	204
478	4446	194
479	4454	185
480	4467	176
481	4475	167
482	4493	158
483	4503	148
484	4513	139
485	4525	130
486	4537	121
487	4545	111
488	4561	102
489	4574	93
490	4584	84
491	4593	74
492	4603	65
493	4612	56
494	4620	46
495	4633	37
496	4641	28
497	4652	18
498	4663	9
499	4671	0
